"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"1","auth-service","Auth register","POST","http://localhost:8081/api/auth/register","WARN","409","300","uat-20260605-103003-001","The remote server returned an error: (409) Conflict.","{""errorCode"":""AUTH_EMAIL_ALREADY_EXISTS"",""message"":""Email already registered"",""timestamp"":1780630204353}"
"2","auth-service","Auth login","POST","http://localhost:8081/api/auth/login","PASS","200","297","uat-20260605-103003-002","HTTP 200","{""success"":true,""message"":""Login successful"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjMwMjA0LCJleHAiOjE3ODA3MTY2MDR9.Vdr3egSpSHz7"
"3","auth-service","Auth refresh","POST","http://localhost:8081/api/auth/refresh","PASS","200","50","uat-20260605-103003-003","HTTP 200","{""success"":true,""message"":""Token refreshed"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjMwMjA0LCJleHAiOjE3ODA3MTY2MDR9.Vdr3egSpSHz7Q"
"4","auth-service","CRBT provision","POST","http://localhost:8081/internal/crbt/provision","PASS","200","25","uat-20260605-103003-004","HTTP 200","{""userId"":3,""msisdn"":""84960000999"",""roles"":[""USER""]}"
"5","auth-service","CRBT user credit","GET","http://localhost:8081/internal/crbt/user-credit/84960000999","PASS","200","19","uat-20260605-103003-005","HTTP 200","{""userId"":3,""msisdn"":""84960000999""}"
"6","payment-gateway-service","Payment charge","POST","http://localhost:8085/api/payments/charge","PASS","200","1417","uat-20260605-103003-006","HTTP 200","{""success"":true,""message"":""Payment processed"",""data"":{""transactionId"":6,""idempotencyKey"":""uat-20260605-103003-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780630206279}"
"7","payment-gateway-service","Payment idempotency lookup","GET","http://localhost:8085/api/payments/idempotency/uat-20260605-103003-payment","PASS","200","22","uat-20260605-103003-007","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""transactionId"":6,""idempotencyKey"":""uat-20260605-103003-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780630206314}"
"8","credit-wallet-service","Wallet internal balance","GET","http://localhost:8086/api/wallet/internal/3/balance","PASS","200","224","uat-20260605-103003-008","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":33},""timestamp"":1780630206532}"
"9","credit-wallet-service","Wallet add","POST","http://localhost:8086/api/wallet/3/add","PASS","200","113","uat-20260605-103003-009","HTTP 200","{""success"":true,""message"":""Credit added"",""data"":{""userId"":3,""balance"":38},""timestamp"":1780630206657}"
"10","credit-wallet-service","Wallet deduct","POST","http://localhost:8086/api/wallet/3/deduct","PASS","200","33","uat-20260605-103003-010","HTTP 200","{""success"":true,""message"":""Credit deducted"",""data"":{""userId"":3,""balance"":37},""timestamp"":1780630206695}"
"11","credit-wallet-service","Wallet me","GET","http://localhost:8086/api/wallet/me","PASS","200","19","uat-20260605-103003-011","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":37},""timestamp"":1780630206716}"
"12","crbt-campaign-service","Campaign create","POST","http://localhost:8090/campaigns","PASS","200","208","uat-20260605-103003-012","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":7,""name"":""UAT Campaign uat-20260605-103003"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-05T03:25:06.707350600Z"",""endAt"":""2026-06-12T03:30:06.708904Z"",""packages"":[{""id"":10,""name"":""UAT Package"",""price"":1000,""creditAmount"":10,""validityDays"":30}]},""timestamp"":1780630206859}"
"13","crbt-campaign-service","Campaign active list","GET","http://localhost:8090/campaigns/active","PASS","200","105","uat-20260605-103003-013","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":2,""name"":""UAT Campaign uat-20260604-233948"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:34:50.956685Z"",""endAt"":""2026-06-11T16:39:50.958267Z"",""packages"":[{""id"":5,""name"":""UAT Package"",""price"":1000.00,""creditAmount"":10,""validityDays"":30}]},{""id"":3,""name"":""UAT Campaign uat-20260604-234008"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:35:10.308237Z"",""endAt"":""2026-06-11T16:40:10.309263Z"",""packages"":[{""i"
"14","crbt-campaign-service","Campaign subscribe","POST","http://localhost:8090/campaigns/subscribe","WARN","400","33","uat-20260605-103003-014","The remote server returned an error: (400) Bad Request.","{""errorCode"":""ACTIVE_SUBSCRIPTION_EXISTS"",""message"":""Active subscription already exists. Confirm change to switch."",""timestamp"":1780630207107}"
"15","crbt-campaign-service","Campaign generate","POST","http://localhost:8090/campaigns/generate?genre=Pop&mood=Happy","WARN","401","24","uat-20260605-103003-015","The remote server returned an error: (401) Unauthorized.","{""errorCode"":""COMMON_UNAUTHORIZED"",""message"":""Unauthorized"",""timestamp"":1780630207136}"
"16","crbt-community-library","Create category","POST","http://localhost:8091/library/categories","PASS","200","267","uat-20260605-103003-016","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":12,""name"":""UAT Category uat-20260605-103003"",""description"":""UAT category"",""createdAt"":""2026-06-05T03:30:07.300384Z"",""updatedAt"":""2026-06-05T03:30:07.300482Z""},""timestamp"":1780630207326}"
"17","crbt-community-library","List categories","GET","http://localhost:8091/library/categories","PASS","200","65","uat-20260605-103003-017","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":1,""name"":""Pop"",""description"":""Popular mainstream music"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":3,""name"":""EDM"",""description"":""Electronic Dance Music for clubs"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":2,""name"":""TÃ¬nh cáº£m"",""description"":""Nháº¡c tÃ¬nh cáº£m, sÃ¢u láº¯ng"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":4,""name"":""HÃ i hÆ°á»c"",""description"":""Nháº¡c hÃ i hÆ°á»c, vui nh"
"18","crbt-community-library","Update category","PUT","http://localhost:8091/library/categories/12","PASS","200","28","uat-20260605-103003-018","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":12,""name"":""UAT Category Updated uat-20260605-103003"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T03:30:07.300384Z"",""updatedAt"":""2026-06-05T03:30:07.300482Z""},""timestamp"":1780630207517}"
"19","crbt-community-library","Create mood","POST","http://localhost:8091/library/moods","PASS","200","61","uat-20260605-103003-019","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":12,""name"":""UAT Mood uat-20260605-103003"",""description"":""UAT mood"",""createdAt"":""2026-06-05T03:30:07.578939Z"",""updatedAt"":""2026-06-05T03:30:07.578956Z""},""timestamp"":1780630207582}"
"20","crbt-community-library","List moods","GET","http://localhost:8091/library/moods","PASS","200","13","uat-20260605-103003-020","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":1,""name"":""Vui"",""description"":""Vui váº», sÃ´i Äá»ng, tÃ­ch cá»±c"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":2,""name"":""Buá»n"",""description"":""Tráº§m láº¯ng, u sáº§u, nhiá»u cáº£m xÃºc"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":3,""name"":""Chill"",""description"":""ThÆ° giÃ£n, nháº¹ nhÃ ng, Ãªm dá»u"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":4,""name"":""Hype"",""description"":""HÆ°ng pháº¥n,"
