"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"1","auth-service","Auth register","POST","http://localhost:8081/api/auth/register","WARN","409","164","uat-20260605-081038-001","The remote server returned an error: (409) Conflict.","{""errorCode"":""AUTH_EMAIL_ALREADY_EXISTS"",""message"":""Email already registered"",""timestamp"":1780621838400}"
"2","auth-service","Auth login","POST","http://localhost:8081/api/auth/login","PASS","200","292","uat-20260605-081038-002","HTTP 200","{""success"":true,""message"":""Login successful"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjIxODM4LCJleHAiOjE3ODA3MDgyMzh9.TmLY71nbSjXb"
"3","auth-service","Auth refresh","POST","http://localhost:8081/api/auth/refresh","PASS","200","44","uat-20260605-081038-003","HTTP 200","{""success"":true,""message"":""Token refreshed"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjIxODM4LCJleHAiOjE3ODA3MDgyMzh9.TmLY71nbSjXbI"
"4","auth-service","CRBT provision","POST","http://localhost:8081/internal/crbt/provision","PASS","200","24","uat-20260605-081038-004","HTTP 200","{""userId"":3,""msisdn"":""84960000999"",""roles"":[""USER""]}"
"5","auth-service","CRBT user credit","GET","http://localhost:8081/internal/crbt/user-credit/84960000999","PASS","200","19","uat-20260605-081038-005","HTTP 200","{""userId"":3,""msisdn"":""84960000999""}"
"6","payment-gateway-service","Payment charge","POST","http://localhost:8085/api/payments/charge","PASS","200","1265","uat-20260605-081038-006","HTTP 200","{""success"":true,""message"":""Payment processed"",""data"":{""transactionId"":3,""idempotencyKey"":""uat-20260605-081038-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780621840141}"
"7","payment-gateway-service","Payment idempotency lookup","GET","http://localhost:8085/api/payments/idempotency/uat-20260605-081038-payment","PASS","200","20","uat-20260605-081038-007","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""transactionId"":3,""idempotencyKey"":""uat-20260605-081038-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780621840172}"
"8","credit-wallet-service","Wallet internal balance","GET","http://localhost:8086/api/wallet/internal/3/balance","PASS","200","158","uat-20260605-081038-008","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":10},""timestamp"":1780621840323}"
"9","credit-wallet-service","Wallet add","POST","http://localhost:8086/api/wallet/3/add","PASS","200","99","uat-20260605-081038-009","HTTP 200","{""success"":true,""message"":""Credit added"",""data"":{""userId"":3,""balance"":15},""timestamp"":1780621840435}"
"10","credit-wallet-service","Wallet deduct","POST","http://localhost:8086/api/wallet/3/deduct","PASS","200","23","uat-20260605-081038-010","HTTP 200","{""success"":true,""message"":""Credit deducted"",""data"":{""userId"":3,""balance"":14},""timestamp"":1780621840460}"
"11","credit-wallet-service","Wallet me","GET","http://localhost:8086/api/wallet/me","PASS","200","13","uat-20260605-081038-011","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":14},""timestamp"":1780621840475}"
"12","crbt-campaign-service","Campaign create","POST","http://localhost:8090/campaigns","PASS","200","187","uat-20260605-081038-012","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":4,""name"":""UAT Campaign uat-20260605-081038"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-05T01:05:40.484442200Z"",""endAt"":""2026-06-12T01:10:40.485548300Z"",""packages"":[{""id"":7,""name"":""UAT Package"",""price"":1000,""creditAmount"":10,""validityDays"":30}]},""timestamp"":1780621840601}"
"13","crbt-campaign-service","Campaign active list","GET","http://localhost:8090/campaigns/active","PASS","200","101","uat-20260605-081038-013","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":2,""name"":""UAT Campaign uat-20260604-233948"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:34:50.956685Z"",""endAt"":""2026-06-11T16:39:50.958267Z"",""packages"":[{""id"":5,""name"":""UAT Package"",""price"":1000.00,""creditAmount"":10,""validityDays"":30}]},{""id"":3,""name"":""UAT Campaign uat-20260604-234008"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:35:10.308237Z"",""endAt"":""2026-06-11T16:40:10.309263Z"",""packages"":[{""i"
"14","crbt-campaign-service","Campaign subscribe","POST","http://localhost:8090/campaigns/subscribe","PASS","200","136","uat-20260605-081038-014","HTTP 200","{""success"":true,""message"":""OK"",""data"":null,""timestamp"":1780621840938}"
"15","crbt-campaign-service","Campaign generate","POST","http://localhost:8090/campaigns/generate?genre=Pop&mood=Happy","FAIL","500","15","uat-20260605-081038-015","The remote server returned an error: (500) Internal Server Error.","{""errorCode"":""COMMON_INTERNAL_ERROR"",""message"":""Internal server error"",""timestamp"":1780621840959}"
"16","crbt-community-library","Create category","POST","http://localhost:8091/library/categories","PASS","200","205","uat-20260605-081038-016","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":9,""name"":""UAT Category uat-20260605-081038"",""description"":""UAT category"",""createdAt"":""2026-06-05T01:10:41.068037Z"",""updatedAt"":""2026-06-05T01:10:41.068131Z""},""timestamp"":1780621841092}"
"17","crbt-community-library","List categories","GET","http://localhost:8091/library/categories","PASS","200","74","uat-20260605-081038-017","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":1,""name"":""Pop"",""description"":""Popular mainstream music"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":3,""name"":""EDM"",""description"":""Electronic Dance Music for clubs"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":2,""name"":""TÃ¬nh cáº£m"",""description"":""Nháº¡c tÃ¬nh cáº£m, sÃ¢u láº¯ng"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":4,""name"":""HÃ i hÆ°á»c"",""description"":""Nháº¡c hÃ i hÆ°á»c, vui nh"
"18","crbt-community-library","Update category","PUT","http://localhost:8091/library/categories/9","PASS","200","31","uat-20260605-081038-018","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":9,""name"":""UAT Category Updated uat-20260605-081038"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:10:41.068037Z"",""updatedAt"":""2026-06-05T01:10:41.068131Z""},""timestamp"":1780621841292}"
"19","crbt-community-library","Create mood","POST","http://localhost:8091/library/moods","PASS","200","62","uat-20260605-081038-019","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":9,""name"":""UAT Mood uat-20260605-081038"",""description"":""UAT mood"",""createdAt"":""2026-06-05T01:10:41.348104Z"",""updatedAt"":""2026-06-05T01:10:41.348123Z""},""timestamp"":1780621841354}"
"20","crbt-community-library","List moods","GET","http://localhost:8091/library/moods","PASS","200","17","uat-20260605-081038-020","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":1,""name"":""Vui"",""description"":""Vui váº», sÃ´i Äá»ng, tÃ­ch cá»±c"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":2,""name"":""Buá»n"",""description"":""Tráº§m láº¯ng, u sáº§u, nhiá»u cáº£m xÃºc"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":3,""name"":""Chill"",""description"":""ThÆ° giÃ£n, nháº¹ nhÃ ng, Ãªm dá»u"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":4,""name"":""Hype"",""description"":""HÆ°ng pháº¥n,"
"21","crbt-community-library","Update mood","PUT","http://localhost:8091/library/moods/9","PASS","200","55","uat-20260605-081038-021","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":9,""name"":""UAT Mood Updated uat-20260605-081038"",""description"":""UAT mood updated"",""createdAt"":""2026-06-05T01:10:41.348104Z"",""updatedAt"":""2026-06-05T01:10:41.348123Z""},""timestamp"":1780621841445}"
"22","crbt-community-library","Create ringtone","POST","http://localhost:8091/library/ringtones","PASS","200","262","uat-20260605-081038-022","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":7,""title"":""UAT Ringtone uat-20260605-081038"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":true,""status"":true,""selectionCount"":0,""category"":{""id"":9,""name"":""UAT Category Updated uat-20260605-081038"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:10:41.068037Z"",""updatedAt"":""2026-06-05T01:10:41.284289Z""},""mood"":{""id"":9,""name"
"23","crbt-community-library","Update ringtone","PUT","http://localhost:8091/library/ringtones/7","PASS","200","20","uat-20260605-081038-023","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":7,""title"":""UAT Ringtone Updated uat-20260605-081038"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":false,""status"":true,""selectionCount"":0,""category"":{""id"":9,""name"":""UAT Category Updated uat-20260605-081038"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:10:41.068037Z"",""updatedAt"":""2026-06-05T01:10:41.284289Z""},""mood"":{""id"
"24","crbt-community-library","Patch ringtone status","PATCH","http://localhost:8091/library/ringtones/7/status","PASS","200","57","uat-20260605-081038-024","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":7,""title"":""UAT Ringtone Updated uat-20260605-081038"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":false,""status"":true,""selectionCount"":0,""category"":{""id"":9,""name"":""UAT Category Updated uat-20260605-081038"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:10:41.068037Z"",""updatedAt"":""2026-06-05T01:10:41.284289Z""},""mood"":{""id"
"25","crbt-community-library","Search ringtones","GET","http://localhost:8091/library/ringtones/search?q=UAT","PASS","200","45","uat-20260605-081038-025","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""content"":[{""id"":7,""title"":""UAT Ringtone Updated uat-20260605-081038"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":false,""status"":true,""selectionCount"":0,""category"":{""id"":9,""name"":""UAT Category Updated uat-20260605-081038"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:10:41.068037Z"",""updatedAt"":""2026-06-05T01:10:41.284289Z""}"
"26","crbt-community-library","Ringtone statistics","GET","http://localhost:8091/library/ringtones/statistics","PASS","200","24","uat-20260605-081038-026","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""totalTracks"":6,""activeTracks"":6,""inactiveTracks"":0,""totalSelections"":0},""timestamp"":1780621841879}"
"27","crbt-community-library","Export ringtones","GET","http://localhost:8091/library/ringtones/export","PASS","200","18","uat-20260605-081038-027","HTTP 200","ï»¿ID,Title,Artist,Category,Mood,Duration (s),Upload Date,Selection Count,Status
3,""Animals"",""Martin Garrix"",""EDM"",""NÄng Äá»ng"",30,2026-06-04,0,Active
1,""Láº¡c TrÃ´i"",""SÆ¡n TÃ¹ng M-TP"",""Thiáº¿u nhi"",""Vui"",30,2026-06-04,0,Active
2,""Waiting For You"",""MONO"",""Thiáº¿u nhi"",""Vui"",30,2026-06-04,0,Active
5,""River Flows In You"",""Yiruma"",""HÃ i hÆ°á»c"",""ThÆ° giÃ£n"",30,2026-06-04,0,Active
4,""Hotel California"",""Eagles"",""TÃ¬nh cáº£m"",""Chill"",30,2026-06-04,0,Active
7,""UAT Ringtone Updated uat-20260605-0810"
"28","crbt-community-library","Random ringtone","GET","http://localhost:8091/library/ringtones/random","PASS","200","34","uat-20260605-081038-028","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":7,""title"":""UAT Ringtone Updated uat-20260605-081038"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":false,""status"":true,""selectionCount"":0,""category"":{""id"":9,""name"":""UAT Category Updated uat-20260605-081038"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:10:41.068037Z"",""updatedAt"":""2026-06-05T01:10:41.284289Z""},""mood"":{""id"
"29","audio-generation-service","Audio job submit","POST","http://localhost:8092/audio-jobs","PASS","202","1244","uat-20260605-081038-029","HTTP 202","{""success"":true,""message"":""OK"",""data"":{""id"":2,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""FAILED"",""resultUrl"":null,""errorMessage"":""Downstream service error"",""createdAt"":""2026-06-05T01:10:42.275876713Z""},""timestamp"":1780621843123}"
"30","audio-generation-service","Audio job list","GET","http://localhost:8092/audio-jobs","PASS","200","80","uat-20260605-081038-030","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":2,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""FAILED"",""resultUrl"":null,""errorMessage"":""Downstream service error"",""createdAt"":""2026-06-05T01:10:42.275877Z""},{""id"":1,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""FAILED"",""resultUrl"":null,""errorMessage"":""Connection refused executing POST http://file-service/api/files/internal/upload-audio?bucket=media-audio"",""createdAt"":""202"
"31","audio-generation-service","Audio job detail","GET","http://localhost:8092/audio-jobs/2","PASS","200","20","uat-20260605-081038-031","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":2,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""FAILED"",""resultUrl"":null,""errorMessage"":""Downstream service error"",""createdAt"":""2026-06-05T01:10:42.275877Z""},""timestamp"":1780621843311}"
"32","audio-generation-service","Audio analyze","POST","http://localhost:8092/audio-jobs/analyze","FAIL","500","10","uat-20260605-081038-032","The remote server returned an error: (500) Internal Server Error.","{""errorCode"":""COMMON_INTERNAL_ERROR"",""message"":""Internal server error"",""timestamp"":1780621843330}"
"33","audio-generation-service","DIY generate","POST","http://localhost:8092/diy/generate","WARN","400","15","uat-20260605-081038-033","The remote server returned an error: (400) Bad Request.","{""errorCode"":""COMMON_BAD_REQUEST"",""message"":""Missing vocal start or end time"",""timestamp"":1780621843346}"
