"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"1","auth-service","Auth register","POST","http://localhost:8081/api/auth/register","WARN","409","36","uat-20260604-234008-001","The remote server returned an error: (409) Conflict.","{""errorCode"":""AUTH_EMAIL_ALREADY_EXISTS"",""message"":""Email already registered"",""timestamp"":1780591208637}"
"2","auth-service","Auth login","POST","http://localhost:8081/api/auth/login","PASS","200","192","uat-20260604-234008-002","HTTP 200","{""success"":true,""message"":""Login successful"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNTkxMjA4LCJleHAiOjE3ODA2Nzc2MDh9.Pvvnw6Qa5hbi"
"3","auth-service","Auth refresh","POST","http://localhost:8081/api/auth/refresh","PASS","200","12","uat-20260604-234008-003","HTTP 200","{""success"":true,""message"":""Token refreshed"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNTkxMjA4LCJleHAiOjE3ODA2Nzc2MDh9.Pvvnw6Qa5hbiv"
"4","auth-service","CRBT provision","POST","http://localhost:8081/internal/crbt/provision","PASS","200","13","uat-20260604-234008-004","HTTP 200","{""userId"":3,""msisdn"":""84960000999"",""roles"":[""USER""]}"
"5","auth-service","CRBT user credit","GET","http://localhost:8081/internal/crbt/user-credit/84960000999","PASS","200","13","uat-20260604-234008-005","HTTP 200","{""userId"":3,""msisdn"":""84960000999""}"
"6","payment-gateway-service","Payment charge","POST","http://localhost:8085/api/payments/charge","PASS","200","1084","uat-20260604-234008-006","HTTP 200","{""success"":true,""message"":""Payment processed"",""data"":{""transactionId"":2,""idempotencyKey"":""uat-20260604-234008-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780591209949}"
"7","payment-gateway-service","Payment idempotency lookup","GET","http://localhost:8085/api/payments/idempotency/uat-20260604-234008-payment","PASS","200","16","uat-20260604-234008-007","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""transactionId"":2,""idempotencyKey"":""uat-20260604-234008-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780591209970}"
"8","credit-wallet-service","Wallet internal balance","GET","http://localhost:8086/api/wallet/internal/3/balance","PASS","200","17","uat-20260604-234008-008","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":6},""timestamp"":1780591209989}"
"9","credit-wallet-service","Wallet add","POST","http://localhost:8086/api/wallet/3/add","PASS","200","64","uat-20260604-234008-009","HTTP 200","{""success"":true,""message"":""Credit added"",""data"":{""userId"":3,""balance"":11},""timestamp"":1780591210053}"
"10","credit-wallet-service","Wallet deduct","POST","http://localhost:8086/api/wallet/3/deduct","PASS","200","66","uat-20260604-234008-010","HTTP 200","{""success"":true,""message"":""Credit deducted"",""data"":{""userId"":3,""balance"":10},""timestamp"":1780591210117}"
