"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"1","auth-service","Auth register","POST","http://localhost:8081/api/auth/register","WARN","409","41","uat-20260605-081205-001","The remote server returned an error: (409) Conflict.","{""errorCode"":""AUTH_EMAIL_ALREADY_EXISTS"",""message"":""Email already registered"",""timestamp"":1780621925441}"
"2","auth-service","Auth login","POST","http://localhost:8081/api/auth/login","PASS","200","197","uat-20260605-081205-002","HTTP 200","{""success"":true,""message"":""Login successful"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjIxOTI1LCJleHAiOjE3ODA3MDgzMjV9.ZPJ4SPvoBbwW"
"3","auth-service","Auth refresh","POST","http://localhost:8081/api/auth/refresh","PASS","200","15","uat-20260605-081205-003","HTTP 200","{""success"":true,""message"":""Token refreshed"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjIxOTI1LCJleHAiOjE3ODA3MDgzMjV9.ZPJ4SPvoBbwWj"
"4","auth-service","CRBT provision","POST","http://localhost:8081/internal/crbt/provision","PASS","200","12","uat-20260605-081205-004","HTTP 200","{""userId"":3,""msisdn"":""84960000999"",""roles"":[""USER""]}"
"5","auth-service","CRBT user credit","GET","http://localhost:8081/internal/crbt/user-credit/84960000999","PASS","200","13","uat-20260605-081205-005","HTTP 200","{""userId"":3,""msisdn"":""84960000999""}"
"6","payment-gateway-service","Payment charge","POST","http://localhost:8085/api/payments/charge","PASS","200","1031","uat-20260605-081205-006","HTTP 200","{""success"":true,""message"":""Payment processed"",""data"":{""transactionId"":4,""idempotencyKey"":""uat-20260605-081205-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780621926770}"
"7","payment-gateway-service","Payment idempotency lookup","GET","http://localhost:8085/api/payments/idempotency/uat-20260605-081205-payment","PASS","200","13","uat-20260605-081205-007","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""transactionId"":4,""idempotencyKey"":""uat-20260605-081205-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780621926787}"
"8","credit-wallet-service","Wallet internal balance","GET","http://localhost:8086/api/wallet/internal/3/balance","PASS","200","13","uat-20260605-081205-008","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":25},""timestamp"":1780621926804}"
"9","credit-wallet-service","Wallet add","POST","http://localhost:8086/api/wallet/3/add","PASS","200","60","uat-20260605-081205-009","HTTP 200","{""success"":true,""message"":""Credit added"",""data"":{""userId"":3,""balance"":30},""timestamp"":1780621926864}"
"10","credit-wallet-service","Wallet deduct","POST","http://localhost:8086/api/wallet/3/deduct","PASS","200","60","uat-20260605-081205-010","HTTP 200","{""success"":true,""message"":""Credit deducted"",""data"":{""userId"":3,""balance"":29},""timestamp"":1780621926926}"
"11","credit-wallet-service","Wallet me","GET","http://localhost:8086/api/wallet/me","PASS","200","12","uat-20260605-081205-011","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":29},""timestamp"":1780621926939}"
"12","crbt-campaign-service","Campaign create","POST","http://localhost:8090/campaigns","PASS","200","211","uat-20260605-081205-012","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":5,""name"":""UAT Campaign uat-20260605-081205"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-05T01:07:06.970401100Z"",""endAt"":""2026-06-12T01:12:06.971959600Z"",""packages"":[{""id"":8,""name"":""UAT Package"",""price"":1000,""creditAmount"":10,""validityDays"":30}]},""timestamp"":1780621927068}"
"13","crbt-campaign-service","Campaign active list","GET","http://localhost:8090/campaigns/active","PASS","200","49","uat-20260605-081205-013","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":2,""name"":""UAT Campaign uat-20260604-233948"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:34:50.956685Z"",""endAt"":""2026-06-11T16:39:50.958267Z"",""packages"":[{""id"":5,""name"":""UAT Package"",""price"":1000.00,""creditAmount"":10,""validityDays"":30}]},{""id"":3,""name"":""UAT Campaign uat-20260604-234008"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:35:10.308237Z"",""endAt"":""2026-06-11T16:40:10.309263Z"",""packages"":[{""i"
"14","crbt-campaign-service","Campaign subscribe","POST","http://localhost:8090/campaigns/subscribe","WARN","400","80","uat-20260605-081205-014","The remote server returned an error: (400) Bad Request.","{""errorCode"":""ACTIVE_SUBSCRIPTION_EXISTS"",""message"":""Active subscription already exists. Confirm change to switch."",""timestamp"":1780621927304}"
"15","crbt-campaign-service","Campaign generate","POST","http://localhost:8090/campaigns/generate?genre=Pop&mood=Happy","WARN","401","27","uat-20260605-081205-015","The remote server returned an error: (401) Unauthorized.","{""errorCode"":""COMMON_UNAUTHORIZED"",""message"":""Unauthorized"",""timestamp"":1780621927336}"
"16","crbt-community-library","Create category","POST","http://localhost:8091/library/categories","PASS","200","21","uat-20260605-081205-016","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":10,""name"":""UAT Category uat-20260605-081205"",""description"":""UAT category"",""createdAt"":""2026-06-05T01:12:07.347059Z"",""updatedAt"":""2026-06-05T01:12:07.347082Z""},""timestamp"":1780621927350}"
"17","crbt-community-library","List categories","GET","http://localhost:8091/library/categories","PASS","200","14","uat-20260605-081205-017","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":1,""name"":""Pop"",""description"":""Popular mainstream music"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":3,""name"":""EDM"",""description"":""Electronic Dance Music for clubs"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":2,""name"":""TÃ¬nh cáº£m"",""description"":""Nháº¡c tÃ¬nh cáº£m, sÃ¢u láº¯ng"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":4,""name"":""HÃ i hÆ°á»c"",""description"":""Nháº¡c hÃ i hÆ°á»c, vui nh"
"18","crbt-community-library","Update category","PUT","http://localhost:8091/library/categories/10","PASS","200","56","uat-20260605-081205-018","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":10,""name"":""UAT Category Updated uat-20260605-081205"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:12:07.347059Z"",""updatedAt"":""2026-06-05T01:12:07.347082Z""},""timestamp"":1780621927444}"
