"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"1","auth-service","Auth register","POST","http://localhost:8081/api/auth/register","WARN","409","27","uat-20260605-081318-001","The remote server returned an error: (409) Conflict.","{""errorCode"":""AUTH_EMAIL_ALREADY_EXISTS"",""message"":""Email already registered"",""timestamp"":1780621998166}"
"2","auth-service","Auth login","POST","http://localhost:8081/api/auth/login","PASS","200","192","uat-20260605-081318-002","HTTP 200","{""success"":true,""message"":""Login successful"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjIxOTk4LCJleHAiOjE3ODA3MDgzOTh9.NPnUZovl0zCK"
"3","auth-service","Auth refresh","POST","http://localhost:8081/api/auth/refresh","PASS","200","19","uat-20260605-081318-003","HTTP 200","{""success"":true,""message"":""Token refreshed"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNjIxOTk4LCJleHAiOjE3ODA3MDgzOTh9.NPnUZovl0zCKM"
"4","auth-service","CRBT provision","POST","http://localhost:8081/internal/crbt/provision","PASS","200","12","uat-20260605-081318-004","HTTP 200","{""userId"":3,""msisdn"":""84960000999"",""roles"":[""USER""]}"
"5","auth-service","CRBT user credit","GET","http://localhost:8081/internal/crbt/user-credit/84960000999","PASS","200","13","uat-20260605-081318-005","HTTP 200","{""userId"":3,""msisdn"":""84960000999""}"
"6","payment-gateway-service","Payment charge","POST","http://localhost:8085/api/payments/charge","PASS","200","1024","uat-20260605-081318-006","HTTP 200","{""success"":true,""message"":""Payment processed"",""data"":{""transactionId"":5,""idempotencyKey"":""uat-20260605-081318-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780621999494}"
"7","payment-gateway-service","Payment idempotency lookup","GET","http://localhost:8085/api/payments/idempotency/uat-20260605-081318-payment","PASS","200","18","uat-20260605-081318-007","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""transactionId"":5,""idempotencyKey"":""uat-20260605-081318-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780621999525}"
"8","credit-wallet-service","Wallet internal balance","GET","http://localhost:8086/api/wallet/internal/3/balance","PASS","200","14","uat-20260605-081318-008","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":29},""timestamp"":1780621999542}"
"9","credit-wallet-service","Wallet add","POST","http://localhost:8086/api/wallet/3/add","PASS","200","63","uat-20260605-081318-009","HTTP 200","{""success"":true,""message"":""Credit added"",""data"":{""userId"":3,""balance"":34},""timestamp"":1780621999608}"
"10","credit-wallet-service","Wallet deduct","POST","http://localhost:8086/api/wallet/3/deduct","PASS","200","68","uat-20260605-081318-010","HTTP 200","{""success"":true,""message"":""Credit deducted"",""data"":{""userId"":3,""balance"":33},""timestamp"":1780621999678}"
"11","credit-wallet-service","Wallet me","GET","http://localhost:8086/api/wallet/me","PASS","200","11","uat-20260605-081318-011","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":33},""timestamp"":1780621999691}"
"12","crbt-campaign-service","Campaign create","POST","http://localhost:8090/campaigns","PASS","200","275","uat-20260605-081318-012","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":6,""name"":""UAT Campaign uat-20260605-081318"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-05T01:08:19.663940Z"",""endAt"":""2026-06-12T01:13:19.665484300Z"",""packages"":[{""id"":9,""name"":""UAT Package"",""price"":1000,""creditAmount"":10,""validityDays"":30}]},""timestamp"":1780621999898}"
"13","crbt-campaign-service","Campaign active list","GET","http://localhost:8090/campaigns/active","PASS","200","104","uat-20260605-081318-013","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":2,""name"":""UAT Campaign uat-20260604-233948"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:34:50.956685Z"",""endAt"":""2026-06-11T16:39:50.958267Z"",""packages"":[{""id"":5,""name"":""UAT Package"",""price"":1000.00,""creditAmount"":10,""validityDays"":30}]},{""id"":3,""name"":""UAT Campaign uat-20260604-234008"",""description"":""UAT campaign"",""status"":""ACTIVE"",""startAt"":""2026-06-04T16:35:10.308237Z"",""endAt"":""2026-06-11T16:40:10.309263Z"",""packages"":[{""i"
"14","crbt-campaign-service","Campaign subscribe","POST","http://localhost:8090/campaigns/subscribe","WARN","400","33","uat-20260605-081318-014","The remote server returned an error: (400) Bad Request.","{""errorCode"":""ACTIVE_SUBSCRIPTION_EXISTS"",""message"":""Active subscription already exists. Confirm change to switch."",""timestamp"":1780622000125}"
"15","crbt-campaign-service","Campaign generate","POST","http://localhost:8090/campaigns/generate?genre=Pop&mood=Happy","WARN","401","22","uat-20260605-081318-015","The remote server returned an error: (401) Unauthorized.","{""errorCode"":""COMMON_UNAUTHORIZED"",""message"":""Unauthorized"",""timestamp"":1780622000152}"
"16","crbt-community-library","Create category","POST","http://localhost:8091/library/categories","PASS","200","14","uat-20260605-081318-016","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":11,""name"":""UAT Category uat-20260605-081318"",""description"":""UAT category"",""createdAt"":""2026-06-05T01:13:20.161079Z"",""updatedAt"":""2026-06-05T01:13:20.161095Z""},""timestamp"":1780622000163}"
"17","crbt-community-library","List categories","GET","http://localhost:8091/library/categories","PASS","200","11","uat-20260605-081318-017","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":1,""name"":""Pop"",""description"":""Popular mainstream music"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":3,""name"":""EDM"",""description"":""Electronic Dance Music for clubs"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":2,""name"":""TÃ¬nh cáº£m"",""description"":""Nháº¡c tÃ¬nh cáº£m, sÃ¢u láº¯ng"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},{""id"":4,""name"":""HÃ i hÆ°á»c"",""description"":""Nháº¡c hÃ i hÆ°á»c, vui nh"
"18","crbt-community-library","Update category","PUT","http://localhost:8091/library/categories/11","PASS","200","54","uat-20260605-081318-018","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":11,""name"":""UAT Category Updated uat-20260605-081318"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:13:20.161079Z"",""updatedAt"":""2026-06-05T01:13:20.161095Z""},""timestamp"":1780622000247}"
"19","crbt-community-library","Create mood","POST","http://localhost:8091/library/moods","PASS","200","51","uat-20260605-081318-019","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":11,""name"":""UAT Mood uat-20260605-081318"",""description"":""UAT mood"",""createdAt"":""2026-06-05T01:13:20.299972Z"",""updatedAt"":""2026-06-05T01:13:20.299989Z""},""timestamp"":1780622000302}"
"20","crbt-community-library","List moods","GET","http://localhost:8091/library/moods","PASS","200","10","uat-20260605-081318-020","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":1,""name"":""Vui"",""description"":""Vui váº», sÃ´i Äá»ng, tÃ­ch cá»±c"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":2,""name"":""Buá»n"",""description"":""Tráº§m láº¯ng, u sáº§u, nhiá»u cáº£m xÃºc"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":3,""name"":""Chill"",""description"":""ThÆ° giÃ£n, nháº¹ nhÃ ng, Ãªm dá»u"",""createdAt"":""2026-06-04T16:39:31.062589Z"",""updatedAt"":null},{""id"":4,""name"":""Hype"",""description"":""HÆ°ng pháº¥n,"
"21","crbt-community-library","Update mood","PUT","http://localhost:8091/library/moods/11","PASS","200","51","uat-20260605-081318-021","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":11,""name"":""UAT Mood Updated uat-20260605-081318"",""description"":""UAT mood updated"",""createdAt"":""2026-06-05T01:13:20.299972Z"",""updatedAt"":""2026-06-05T01:13:20.299989Z""},""timestamp"":1780622000370}"
"22","crbt-community-library","Create ringtone","POST","http://localhost:8091/library/ringtones","PASS","200","138","uat-20260605-081318-022","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":9,""title"":""UAT Ringtone uat-20260605-081318"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":true,""status"":true,""selectionCount"":0,""category"":{""id"":11,""name"":""UAT Category Updated uat-20260605-081318"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:13:20.161079Z"",""updatedAt"":""2026-06-05T01:13:20.244836Z""},""mood"":{""id"":11,""na"
"23","crbt-community-library","Update ringtone","PUT","http://localhost:8091/library/ringtones/9","PASS","200","16","uat-20260605-081318-023","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":9,""title"":""UAT Ringtone Updated uat-20260605-081318"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":false,""status"":true,""selectionCount"":0,""category"":{""id"":11,""name"":""UAT Category Updated uat-20260605-081318"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:13:20.161079Z"",""updatedAt"":""2026-06-05T01:13:20.244836Z""},""mood"":{""i"
"24","crbt-community-library","Patch ringtone status","PATCH","http://localhost:8091/library/ringtones/9/status","PASS","200","60","uat-20260605-081318-024","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":9,""title"":""UAT Ringtone Updated uat-20260605-081318"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":false,""status"":true,""selectionCount"":0,""category"":{""id"":11,""name"":""UAT Category Updated uat-20260605-081318"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:13:20.161079Z"",""updatedAt"":""2026-06-05T01:13:20.244836Z""},""mood"":{""i"
"25","crbt-community-library","Search ringtones","GET","http://localhost:8091/library/ringtones/search?q=UAT","PASS","200","15","uat-20260605-081318-025","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""content"":[{""id"":9,""title"":""UAT Ringtone Updated uat-20260605-081318"",""artistName"":""UAT Artist"",""audioUrl"":""https://example.com/audio/uat-ringtone.mp3"",""coverImageUrl"":""https://example.com/cover.png"",""durationSeconds"":30,""featured"":false,""status"":true,""selectionCount"":0,""category"":{""id"":11,""name"":""UAT Category Updated uat-20260605-081318"",""description"":""UAT category updated"",""createdAt"":""2026-06-05T01:13:20.161079Z"",""updatedAt"":""2026-06-05T01:13:20.244836Z"""
"26","crbt-community-library","Ringtone statistics","GET","http://localhost:8091/library/ringtones/statistics","PASS","200","15","uat-20260605-081318-026","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""totalTracks"":6,""activeTracks"":6,""inactiveTracks"":0,""totalSelections"":0},""timestamp"":1780622000635}"
"27","crbt-community-library","Export ringtones","GET","http://localhost:8091/library/ringtones/export","PASS","200","19","uat-20260605-081318-027","HTTP 200","ï»¿ID,Title,Artist,Category,Mood,Duration (s),Upload Date,Selection Count,Status
3,""Animals"",""Martin Garrix"",""EDM"",""NÄng Äá»ng"",30,2026-06-04,0,Active
1,""Láº¡c TrÃ´i"",""SÆ¡n TÃ¹ng M-TP"",""Thiáº¿u nhi"",""Vui"",30,2026-06-04,0,Active
2,""Waiting For You"",""MONO"",""Thiáº¿u nhi"",""Vui"",30,2026-06-04,0,Active
5,""River Flows In You"",""Yiruma"",""HÃ i hÆ°á»c"",""ThÆ° giÃ£n"",30,2026-06-04,0,Active
4,""Hotel California"",""Eagles"",""TÃ¬nh cáº£m"",""Chill"",30,2026-06-04,0,Active
9,""UAT Ringtone Updated uat-20260605-0813"
