"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"1","auth-service","Auth register","POST","http://localhost:8081/api/auth/register","PASS","201","384","uat-20260604-233948-001","HTTP 201","{""success"":true,""message"":""User registered"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNTkxMTg4LCJleHAiOjE3ODA2Nzc1ODh9.3CExZoIxOf0qu"
"2","auth-service","Auth login","POST","http://localhost:8081/api/auth/login","PASS","200","210","uat-20260604-233948-002","HTTP 200","{""success"":true,""message"":""Login successful"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNTkxMTg5LCJleHAiOjE3ODA2Nzc1ODl9.4B2gnkfXjV_w"
"3","auth-service","Auth refresh","POST","http://localhost:8081/api/auth/refresh","PASS","200","43","uat-20260604-233948-003","HTTP 200","{""success"":true,""message"":""Token refreshed"",""data"":{""accessToken"":""<redacted>"",""refreshToken"":""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIyIiwiZW1haWwiOiJ1YXQubWljcm9zZXJ2aWNlQGV4YW1wbGUuY29tIiwicm9sZXMiOlsiQURNSU4iXSwiaWF0IjoxNzgwNTkxMTg5LCJleHAiOjE3ODA2Nzc1ODl9.4B2gnkfXjV_wh"
"4","auth-service","CRBT provision","POST","http://localhost:8081/internal/crbt/provision","PASS","200","20","uat-20260604-233948-004","HTTP 200","{""userId"":3,""msisdn"":""84960000999"",""roles"":[""USER""]}"
"5","auth-service","CRBT user credit","GET","http://localhost:8081/internal/crbt/user-credit/84960000999","PASS","200","17","uat-20260604-233948-005","HTTP 200","{""userId"":3,""msisdn"":""84960000999""}"
"6","payment-gateway-service","Payment charge","POST","http://localhost:8085/api/payments/charge","PASS","200","1351","uat-20260604-233948-006","HTTP 200","{""success"":true,""message"":""Payment processed"",""data"":{""transactionId"":1,""idempotencyKey"":""uat-20260604-233948-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780591191580}"
"7","payment-gateway-service","Payment idempotency lookup","GET","http://localhost:8085/api/payments/idempotency/uat-20260604-233948-payment","PASS","200","19","uat-20260604-233948-007","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""transactionId"":1,""idempotencyKey"":""uat-20260604-233948-payment"",""status"":""FAILED"",""providerReference"":null,""packageCode"":""UAT_CRBT_001"",""amountMmk"":1000,""creditAmount"":10},""timestamp"":1780591191606}"
"8","credit-wallet-service","Wallet internal balance","GET","http://localhost:8086/api/wallet/internal/3/balance","PASS","200","146","uat-20260604-233948-008","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":2},""timestamp"":1780591191739}"
"9","credit-wallet-service","Wallet add","POST","http://localhost:8086/api/wallet/3/add","PASS","200","71","uat-20260604-233948-009","HTTP 200","{""success"":true,""message"":""Credit added"",""data"":{""userId"":3,""balance"":7},""timestamp"":1780591191815}"
"10","credit-wallet-service","Wallet deduct","POST","http://localhost:8086/api/wallet/3/deduct","PASS","200","20","uat-20260604-233948-010","HTTP 200","{""success"":true,""message"":""Credit deducted"",""data"":{""userId"":3,""balance"":6},""timestamp"":1780591191836}"
"11","credit-wallet-service","Wallet me","GET","http://localhost:8086/api/wallet/me","PASS","200","11","uat-20260604-233948-011","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""userId"":3,""balance"":6},""timestamp"":1780591191848}"
"999","uat-runner","Unhandled runner exception","N/A","N/A","FAIL",,"0","","The property 'Response' cannot be found on this object. Verify that the property exists.",""
